#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
MNM.70200.d.innocent_victim;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. ""My [Root.GetTitle], there are many concerned peasants claiming that their children are plagued by nightmares of this [accused_apostate.GetManWoman] - [accused_apostate.GetSheHe] is obviously a [accused_apostate.GetWarlockWitch]! What shall be done with [accused_apostate.GetHerHim]?""";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.Get_E] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] enchaîné[accused_apostate.Get_E]. « M[Root.GetOnA][Root.GetLordLady], beaucoup de paysans inquiets affirment que leurs enfants sont en proie à des cauchemars à propos de c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] - c'est de toute évidence un[accused_apostate.Get_E] [accused_apostate.GetWarlockWitch] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. ""M[Root.Geteineine] [Root.GetTitle], viele besorgte Bauern behaupten, ihre Kinder würden durch Albträume von [accused_apostate.Getdiesemdieser] [accused_apostate.GetManWoman] geplagt. [accused_apostate.GetSheHeCap] ist offenkundig [accused_apostate.Geteineine] [accused_apostate.GetWarlockWitch]! Was soll mit [accused_apostate.GetBestName] geschehen?""";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], hay muchos campesinos preocupados de que sus hijos se vean acosados por las pesadillas de esta persona. ¡No hay duda de que es [accused_apostate.GetWarlockWitch]! ¿Qué deseas que se haga?».;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] irrompe nella tua [Root.GetChamber], accompagnato da diversi [Root.GetReligionWarriorPlural] che trascinano [accused_apostate.GetBestName] in catene. 'Mio [Root.GetTitle], diversi paesani preoccupati sostengono che i loro bambini siano vittime degli incubi di questo [accused_apostate.GetManWoman] - [accused_apostate.GetSheHe] è ovviamente un [accused_apostate.GetWarlockWitch]! Che cosa dovremmo farne di [accused_apostate.GetHerHim]?';;;;;;;;x
MNM.70200.a;Burn the apostate!;Qu'on [accused_apostate.GetLeLa] brûle !;Verbrennt [accused_apostate.Getdendie] Abtrünnige[accused_apostate.GetnMale]!;;¡A la hoguera!;Brucia l'apostata!;;;;;;;;x
MNM.70200.b;Throw the apostate in the dungeon.;Qu'[accused_apostate.GetIlElle] croupisse au cachot.;Werft [accused_apostate.Getdendie] Abtrünnige[accused_apostate.GetnMale] in den Kerker.;;Al calabozo.;Getta l'apostata nelle segrete.;;;;;;;;x
MNM.70200.c;Bring out the branding iron!;Apportez-moi le fer à marquer !;Holt das Brandeisen!;;¡Que me traigan el hierro de marcar!;Portate il ferro per marcare!;;;;;;;;x
MNM.70200.d;Let [accused_apostate.GetHerHim] go free, what harm could it do?;Libérez-[accused_apostate.GetLeLa], quel mal pourrait-[accused_apostate.GetIlElle] faire ?;Lasst [accused_apostate.GetBestName] frei.;;Dejad que se marche. ¿Qué mal podría hacer?;Lasciate [accused_apostate.GetHerHim] andare, che male potrebbe fare?;;;;;;;;x
MNM.70300.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Now [my_liege.GetBestName] has decided that I should be burned alive!;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.Get_E] ! [my_liege.job_spiritual.GetLuiElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.Get_E], m'accusant d'apostasie. [my_liege.Get_only_Le_Title][my_liege.GetBestName] a ensuite décidé que j'allais être brûlé[Root.Get_E] vivant[Root.Get_E] !;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Jetzt hat [my_liege.GetBestName] das Urteil gefällt, dass ich bei lebendigem Leibe verbrannt werden soll!;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. ¡Ahora [my_liege.GetBestName] ha decidido que me quemen!;Maledetto sia questo [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] e la [my_liege.job_spiritual.GetHerHis] banda di [my_liege.job_spiritual.GetReligionWarriorPlural] hanno fatto irruzione nella mia [Root.GetChamber] e mi hanno incatenato, accusandomi di apostasia. Ora [my_liege.GetBestName] ha deciso che io debba essere bruciato vivo!;;;;;;;;x
MNM.70300.a;[accused_apostate.GetDWDevil], avenge me!;Puisse [accused_apostate.GetDWDevil] me venger !;[accused_apostate.GetDWDevil], räche mich!;;¡[accused_apostate.GetDWDevil], véngame!;[accused_apostate.GetDWDevil], vendicami!;;;;;;;;x
MNM.70300.b;[Root.Religion.GetHighGodName], save my soul!;Que [Root.Get_le_HighGod] sauve mon âme !;[Root.Religion.GetHighGodName], errette meine Seele!;;¡[Root.Religion.GetHighGodName], salva mi alma!;[Root.Religion.GetHighGodName], salva la mia anima!;;;;;;;;x
MNM.70310.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Now [my_liege.GetBestName] has decided that I am to rot away in [my_liege.GetHerHis] dungeon!;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.Get_E] ! [my_liege.job_spiritual.GetLuiElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.Get_E], m'accusant d'apostasie. [my_liege.Get_only_Le_Title][my_liege.GetBestName] a ensuite décidé que j'allais croupir dans son cachot !;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Jetzt hat [my_liege.GetBestName] das Urteil gefällt, dass ich in [my_liege.GetHerHis]em Kerker verschmachten soll!;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. ¡Ahora, [my_liege.GetBestName] ha decidido que deberé pudrirme en el calabozo!;Maledetto sia questo [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] e la [my_liege.job_spiritual.GetHerHis] banda di [my_liege.job_spiritual.GetReligionWarriorPlural] hanno fatto irruzione nella mia [Root.GetChamber] e mi hanno incatenato, accusandomi di apostasia. Ora [my_liege.GetBestName] ha deciso che io marcisca nelle [my_liege.GetHerHis] segrete!;;;;;;;;x
MNM.70310.a;I will be free, and then you will all pay!;Je serai libre, et alors vous allez tous payer !;Ich werde die Freiheit wiedererlangen, und dann werdet Ihr alle dafür büßen!;;¡Seré libre, y entonces todos lo pagaréis!;Sarò libero, e allora la pagherete tutti!;;;;;;;;x
MNM.70320.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Fortunately enough [my_liege.GetBestName] decided that I am to go free - though I will be branded as an apostate.;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.Get_E] ! [my_liege.job_spiritual.GetLuiElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.Get_E], m'accusant d'apostasie. Heureusement, [my_liege.Get_only_le_Title][my_liege.GetBestName] a décidé que je devais être libéré[Root.Get_E] - bien que catalogué[Root.Get_E] comme apostat[Root.Get_E].;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Glücklicherweise hat [my_liege.GetBestName] entschieden, dass ich freigelassen, aber als Abtrünniger gebrandmarkt werden soll.;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. Por suerte, [my_liege.GetBestName] decidió que debo quedar libre, aunque me marcarán como apóstata.;Maledetto sia questo [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] e la [my_liege.job_spiritual.GetHerHis] banda di [my_liege.job_spiritual.GetReligionWarriorPlural] hanno fatto irruzione nella mia [Root.GetChamber] e mi hanno incatenato, accusandomi di apostasia. Fortunatamente [my_liege.GetBestName] ha deciso che io sia liberato - anche se sarò marchiato come apostata.;;;;;;;;x
MNM.70320.a;Fortunate, in a way.;Fortuné, en quelque sorte.;In gewisser Weise kann man das wahrlich ein Glück nennen.;;En cierta manera, he tenido suerte.;Fortunato, in un certo senso.;;;;;;;;x
MNM.70330.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Fortunately enough [my_liege.GetBestName] decided that I am to go free - [my_liege.GetFirstName] was evidently convinced of my innocence!;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.Get_E] ! [my_liege.job_spiritual.GetLuiElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.Get_E], m'accusant d'apostasie. Heureusement, [my_liege.Get_only_le_Title][my_liege.GetBestName] a décidé que je devais être libéré[Root.Get_E] - [my_liege.GetFirstName] était manifestement convaincu[my_liege.Get_E] de mon innocence !;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Glücklicherweise hat [my_liege.GetBestName] entschieden, dass ich freigelassen werden soll. [my_liege.GetFirstName] war offenkundig von meiner Unschuld überzeugt!;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. Por suerte, [my_liege.GetBestName] decidió que debo quedar libre. ¡Evidentemente tenía convicción de mi inocencia!;Maledetto sia questo [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] e la [my_liege.job_spiritual.GetHerHis] banda di [my_liege.job_spiritual.GetReligionWarriorPlural] hanno fatto irruzione nella mia [Root.GetChamber] e mi hanno incatenato, accusandomi di apostasia. Fortunatamente [my_liege.GetBestName] ha deciso che io sia liberato - [my_liege.GetFirstName] si è evidentemente convinto della mia innocenza!;;;;;;;;x
MNM.70330.a;I walk free!;Je suis libre !;Ich bin frei!;;¡Soy libre!;Sono libero!;;;;;;;;x
MNM.70400.d.executed;Disaster! Your fellow member of [Root.Society.GetName], [From.GetBestName], has been caught by [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] and [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! They spared no time before they burned [From.GetHerHim] at the stake...;Catastrophe ! Votre [From.GetSisterBrother] [Root.Get_du_Society], [From.Get_only_le_Title][From.GetBestName], a été arrêté[From.Get_E] par [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ! Ils l'ont brûlé[From.Get_E] vi[From.GetFVe] peu de temps après...;Welch ein Unglück! [From.GetBestName], ein anderes Mitglied des [Root.Society.GetName]-Zirkels, wurde von [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] und [my_liege.job_spiritual.GetHerHis]er [my_liege.job_spiritual.GetReligionWarrior]schar gefangen genommen! Sie haben [From.GetBestName] auf schnellstem Wege auf dem Scheiterhaufen verbrannt ...;;¡Desastre! ¡[my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] y sus [my_liege.job_spiritual.GetReligionWarrior]s han apresado a [From.GetBestName], tu camarada de [Root.Society.GetName]! No tardaron en quemar su cuerpo en la estaca...;Disastro! Il tuo compagno di [Root.Society.GetName], [From.GetBestName], sono stati catturati da [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] e i [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! Non hanno perso tempo a bruciare [From.GetHerHim] sul rogo...;;;;;;;;x
MNM.70400.d.imprisoned;Disaster! Your fellow member of [Root.Society.GetName], [From.GetBestName], has been caught by [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] and [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! [From.GetSheHeCap] now rots away in [my_liege.GetTitle] [my_liege.GetFirstName]'s dungeon...;Catastrophe ! Votre [From.GetSisterBrother] [Root.Get_du_Society], [From.Get_only_le_Title][From.GetBestName], a été arrêté[From.Get_E] par [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ! [From.GetIlElleCap] croupit à présent dans un cachot...;Welch ein Unglück! [From.GetBestName], ein anderes Mitglied des [Root.Society.GetName]-Zirkels, wurde von [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] und [my_liege.job_spiritual.GetHerHis]er [my_liege.job_spiritual.GetReligionWarrior]schar gefangen genommen! Jetzt schmachtet [From.GetSheHe] im Kerker von [my_liege.GetTitle] [my_liege.GetFirstName] dahin ...;;¡Desastre! ¡[my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] y sus [my_liege.job_spiritual.GetReligionWarrior]s han apresado a [From.GetBestName], tu camarada de [Root.Society.GetName]! Ahora, se pudre en el calabozo de [my_liege.GetTitle] [my_liege.GetFirstName]...;Disastro! Il tuo compagno di [Root.Society.GetName], [From.GetBestName], sono stati catturati da [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] e i [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! [From.GetSheHeCap] ora marcisce nelle segrete di [my_liege.GetTitle] [my_liege.GetFirstName]...;;;;;;;;x
MNM.70400.d.caught;Disaster! Your fellow member of [Root.Society.GetName], [From.GetBestName], has been caught by [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] and [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! They used hot irons to brand [From.GetFirstName] an apostate, fortunately they spared [From.GetHerHis] life...;Catastrophe ! Votre [From.GetSisterBrother] [Root.Get_du_Society], [From.Get_only_le_Title][From.GetBestName], a été arrêté[From.Get_E] par [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ! Ils ont utilisé des fers chauds pour [From.GetLeLa] marquer comme apostat[From.Get_E]. Ils l'ont néanmoins épargné[From.Get_E]...;Welch ein Unglück! [From.GetBestName], ein anderes Mitglied des [Root.Society.GetName]-Zirkels, wurde von [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] und [my_liege.job_spiritual.GetHerHis]er [my_liege.job_spiritual.GetReligionWarrior]schar gefangen genommen! Sie haben [From.GetFirstName] mit glühenden Eisen als Abtrünnigen gebrandmarkt, aber zum Glück [From.GetHerHis] Leben verschont ...;;¡Desastre! ¡[my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] y sus [my_liege.job_spiritual.GetReligionWarrior]s han apresado a [From.GetBestName], tu camarada de [Root.Society.GetName]! Usaron hierros calientes para marcar a [From.GetFirstName] como apóstata, aunque por suerte, le perdonaron la vida...;Disastro! Il tuo compagno di [Root.Society.GetName], [From.GetBestName], sono stati catturati da [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] e i [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! Hanno usato dei ferri roventi per marchiare [From.GetFirstName] come apostata, fortunatamente hanno risparmiato la [From.GetHerHis] vita...;;;;;;;;x
